thai,english,parts,n_parts,n_glossed,score_A,score_B,score_C
ทำผิด,to make a mistake,ทำ+ผิด,2,2,0.542675694981538,0.6219042910280401,0.8321530801874824
ไม่ค่อย,"barely, hardly, not very",ไม่+ค่อย,2,2,0.5428447716168504,0.5489359498023987,0.6817667836728992
ข้ามถนน,cross the road,ข้าม+ถนน,2,2,0.5468356684156976,0.5295500439673674,0.7079667830738008
ข้ามถนน,cross the road,ข้าม+ถนน,2,2,0.5468356684156976,0.5295500439673674,0.7079667830738008
ต้องการ,"to want, to need",ต้อง+การ,2,2,0.5470824521846566,0.47772183748743813,0.8898291163458373
รถตู้,van,รถ+ตู้,2,2,0.5515962462928956,0.28494447469711304,0.6785525743459753
รถตู้,van,รถ+ตู้,2,2,0.5515962462928956,0.28494447469711304,0.6785525743459753
พ่อค้า,male merchant,พ่อ+ค้า,2,2,0.5554266650856151,0.6065826054464261,0.8110162927267207
เครื่องบิน,airplane,เครื่อง+บิน,2,2,0.5564813837056312,0.4998147785774041,0.6399100452322845
เครื่องบิน,airplane,เครื่อง+บิน,2,2,0.5564813837056312,0.4998147785774041,0.6399100452322845
ยกเว้น,except,ยก+เว้น,2,2,0.5580015712164664,0.4075465202331543,0.6413892379846625
ฝากเงิน,deposit money,ฝาก+เงิน,2,2,0.5596280511870356,0.522951602935791,0.8086258586912692
ฝากเงิน,deposit money,ฝาก+เงิน,2,2,0.5596280511870356,0.522951602935791,0.8086258586912692
อันไหน,which one,อัน+ไหน,2,2,0.560154318146955,0.39326197980558514,0.7209320673087152
อันไหน,which one,อัน+ไหน,2,2,0.560154318146955,0.39326197980558514,0.7209320673087152
วันหยุด,day off; holiday,วัน+หยุด,2,2,0.5625149324315284,0.6276691555976868,0.5451247028762297
ถุงเท้า,socks,ถุง+เท้า,2,2,0.564060315508492,0.5448727554234558,0.695981722311077
ถุงเท้า,socks,ถุง+เท้า,2,2,0.564060315508492,0.5448727554234558,0.695981722311077
ได้ไหม,"can you?, is it possible?",ได้+ไหม,2,2,0.5645429401991755,0.4145192998074636,0.9523219130325994
เดินทาง,to travel,เดิน+ทาง,2,2,0.5668494823108833,0.4809195399284363,0.8222947317723944
ตรงข้าม,opposite,ตรง+ข้าม,2,2,0.5676852361698593,0.39572622750557823,0.5798428850345589
ตรงข้าม,opposite,ตรง+ข้าม,2,2,0.5676852361698593,0.39572622750557823,0.5798428850345589
ถอนเงิน,withdraw money,ถอน+เงิน,2,2,0.5678536664440047,0.5884736776351929,0.8827110283014413
ถอนเงิน,withdraw money,ถอน+เงิน,2,2,0.5678536664440047,0.5884736776351929,0.8827110283014413
พูดเล่น,to joke,พูด+เล่น,2,2,0.5697955069134655,0.4982020555855069,0.7108549185128445
ช่วงนี้,during this time,ช่วง+นี้,2,2,0.571871311947414,0.5540100336074829,0.8062736577495727
คนขับ,driver,คน+ขับ,2,2,0.5732508123228457,0.6388252162233123,0.6804604722882398
สีฟ้า,"light blue, sky blue",สี+ฟ้า,2,2,0.5739078879392905,0.5789088010787964,0.5129589358927246
ภูเขา,mountain,ภู+เขา,2,2,0.5748476575309501,0.3633905053138733,0.5380666777964571
ภูเขา,mountain,ภู+เขา,2,2,0.5748476575309501,0.3633905053138733,0.5380666777964571
ภูเขา,mountain,ภู+เขา,2,2,0.5748476575309501,0.3633905053138733,0.5380666777964571
ภูเขา,mountain,ภู+เขา,2,2,0.5748476575309501,0.3633905053138733,0.5380666777964571
ได้รับ,"to get, to receive",ได้+รับ,2,2,0.5753097847272526,0.3115464336601754,0.8296567843119441
