thai,parts,n_parts,per_part_cos,min_part_cos,mean_part_cos,max_part_cos,gap,sum_rank
ตกปลา,ตก+ปลา,2,0.168;0.469,0.1684999018907547,0.3186579868197441,0.4688160717487335,0.3003161698579788,3
เครื่องดื่ม,เครื่อง+ดื่ม,2,0.169;0.462,0.16857057809829712,0.3151229918003082,0.46167540550231934,0.2931048274040222,7
เครื่องดื่ม,เครื่อง+ดื่ม,2,0.169;0.462,0.16857057809829712,0.3151229918003082,0.46167540550231934,0.2931048274040222,7
ตัวเอง,ตัว+เอง,2,0.169;0.343,0.1687684953212738,0.2557854652404785,0.3428024351596832,0.17403393983840942,5
อะไร,อะ+ไร,2,0.171;0.339,0.17095082998275757,0.2551550716161728,0.339359313249588,0.16840848326683044,3
อะไร,อะ+ไร,2,0.171;0.339,0.17095082998275757,0.2551550716161728,0.339359313249588,0.16840848326683044,3
ถูกต้อง,ถูก+ต้อง,2,0.171;0.328,0.17103971540927887,0.24930913001298904,0.3275785446166992,0.15653882920742035,10
ตรงข้าม,ตรง+ข้าม,2,0.341;0.173,0.1725250631570816,0.2568327710032463,0.341140478849411,0.1686154156923294,4
ตรงข้าม,ตรง+ข้าม,2,0.341;0.173,0.1725250631570816,0.2568327710032463,0.341140478849411,0.1686154156923294,4
มะเขือ,มะ+เขือ,2,0.173;0.422,0.17305447161197662,0.2977363392710686,0.4224182069301605,0.2493637353181839,4
มะเขือ,มะ+เขือ,2,0.173;0.422,0.17305447161197662,0.2977363392710686,0.4224182069301605,0.2493637353181839,4
น้ำตก,น้ำ+ตก,2,0.330;0.174,0.17413321137428284,0.25218796730041504,0.33024272322654724,0.1561095118522644,12
น้ำตก,น้ำ+ตก,2,0.330;0.174,0.17413321137428284,0.25218796730041504,0.33024272322654724,0.1561095118522644,12
น้ำตก,น้ำ+ตก,2,0.330;0.174,0.17413321137428284,0.25218796730041504,0.33024272322654724,0.1561095118522644,12
น้ำตก,น้ำ+ตก,2,0.330;0.174,0.17413321137428284,0.25218796730041504,0.33024272322654724,0.1561095118522644,12
ผลไม้,ผล+ไม้,2,0.177;0.278,0.17729739844799042,0.22753872722387314,0.27778005599975586,0.10048265755176544,6
ผลไม้,ผล+ไม้,2,0.177;0.278,0.17729739844799042,0.22753872722387314,0.27778005599975586,0.10048265755176544,6
ที่นั่น,ที่+นั่น,2,0.246;0.177,0.1773129403591156,0.2116350680589676,0.24595719575881958,0.06864425539970398,23
อยากได้,อยาก+ได้,2,0.502;0.178,0.177853062748909,0.3401479199528694,0.5024427771568298,0.32458971440792084,8
ตกใจ,ตก+ใจ,2,0.284;0.180,0.1803286224603653,0.23200241476297379,0.2836762070655823,0.10334758460521698,11
มะนาว,มะ+นาว,2,0.187;0.182,0.1824871450662613,0.18471314013004303,0.18693913519382477,0.0044519901275634766,17
มะนาว,มะ+นาว,2,0.187;0.182,0.1824871450662613,0.18471314013004303,0.18693913519382477,0.0044519901275634766,17
คนขับ,คน+ขับ,2,0.192;0.439,0.19160151481628418,0.3150835931301117,0.4385656714439392,0.24696415662765503,4
ภูเขา,ภู+เขา,2,0.380;0.193,0.19343194365501404,0.286894291639328,0.38035663962364197,0.18692469596862793,7
ภูเขา,ภู+เขา,2,0.380;0.193,0.19343194365501404,0.286894291639328,0.38035663962364197,0.18692469596862793,7
ภูเขา,ภู+เขา,2,0.380;0.193,0.19343194365501404,0.286894291639328,0.38035663962364197,0.18692469596862793,7
ภูเขา,ภู+เขา,2,0.380;0.193,0.19343194365501404,0.286894291639328,0.38035663962364197,0.18692469596862793,7
สักครู่,สัก+ครู่,2,0.194;0.556,0.1941814422607422,0.3751477897167206,0.556114137172699,0.3619326949119568,1
ไม่ค่อย,ไม่+ค่อย,2,0.640;0.195,0.1948506087064743,0.41729652136564255,0.6397424340248108,0.4448918253183365,3
ภาษาไทย,ภาษา+ไทย,2,0.621;0.195,0.19493144750595093,0.40782108902931213,0.6207107305526733,0.4257792830467224,2
พระอาทิตย์,พระ+อาทิตย์,2,0.196;0.223,0.19625906646251678,0.20959310978651047,0.22292715311050415,0.026668086647987366,13
พระอาทิตย์,พระ+อาทิตย์,2,0.196;0.223,0.19625906646251678,0.20959310978651047,0.22292715311050415,0.026668086647987366,13
ต้องการ,ต้อง+การ,2,0.346;0.197,0.19726133346557617,0.27162016928195953,0.3459790050983429,0.14871767163276672,11
เตียงคู่,เตียง+คู่,2,0.519;0.199,0.19917747378349304,0.35886146128177643,0.5185454487800598,0.3193679749965668,3
มะม่วง,มะ+ม่วง,2,0.207;0.338,0.2071550041437149,0.2727147862315178,0.3382745683193207,0.13111956417560577,5
มะม่วง,มะ+ม่วง,2,0.207;0.338,0.2071550041437149,0.2727147862315178,0.3382745683193207,0.13111956417560577,5
วางแผน,วาง+แผน,2,0.207;0.455,0.20736025273799896,0.3313540294766426,0.45534780621528625,0.2479875534772873,2
ช่วยด้วย,ช่วย+ด้วย,2,0.209;0.211,0.2086412012577057,0.20983102917671204,0.21102085709571838,0.0023796558380126953,8
เมฆมาก,เมฆ+มาก,2,0.420;0.209,0.20946739614009857,0.3145492747426033,0.41963115334510803,0.21016375720500946,2
เมฆมาก,เมฆ+มาก,2,0.420;0.209,0.20946739614009857,0.3145492747426033,0.41963115334510803,0.21016375720500946,2
แม่ค้า,แม่+ค้า,2,0.326;0.210,0.2101801335811615,0.2683151364326477,0.3264501392841339,0.11627000570297241,7
